,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
1339,Final Fantasy XV,https://www.igdb.com/games/final-fantasy-xv,Eighth Generation,Adventure - Fighting - Role-playing (RPG),Single player,Action - Fantasy - Sandbox - Science fiction - Survival,Final Fantasy,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tr2.jpg,81,"Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before."
1340,Kya: Dark Lineage,https://www.igdb.com/games/kya-dark-lineage,Sixth Generation,Platform - Puzzle,,Action,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1owk.jpg,65,"Kya and her brother Frank have been transported into a different dimension, and upon arriving are separated! Kya meets (and is saved by) the native creatures of this world (known as the Nativs), however Frank is captured by a dangerous enemy known as the Wolfens under the rule of Brazul. To make matters worse, Kya learns that the Wolfens are actually the peaceful Nativs which have been captured and transformed, and Brazul is actually her long lost father! Kya must now embark on a quest to rescue her brother as well as find a way to restore the Wolfen to their Nativ form and defeat Brazul.Kya: Dark Lineage is an action adventure game. You control Kya and need to explore the colorful world she's arrived in. This strange world consists of various floating islands with many tunnels, platforms, dangerous life forms, and other obstacles. Powerful winds blow around many areas, and you'll often need to use the winds to your advantage by floating in them through tunnels, over gaps or slowing your descent in a free fall. There is some puzzle solving as well; you'll need to locate objects to use, hop on various platforms, buy items in the Nativ city, and more to reach new areas.You'll also need to fight often, as the Wolfen are numerous and can found guarding many areas you need to get through. You can fight with your fists as well as items that can be acquired (such as various boomies, or boomerangs, and fighting bracelets). After defeating a Wolfen, you can use a magic spell to transform it back to its Nativ form which will then return back to the Nativ city. Upon returning to the city, many of the Nativs will then open up a shop; as new shops are opened, you will have the opportunity to buy new items and power ups to help on your quest. Alternatively, some Nativs may instead build a challenge in the city instead of opening a shop. You can earn money by betting and completing challenge objectives (or you can simply practice a challenge).As you progress through the game, the story will unfold until you are (hopefully) successful in your quest!"
1341,Fell Seal: Arbiter's Mark,https://www.igdb.com/games/fell-seal-arbiters-mark,Eighth Generation,Indie - Role-playing (RPG) - Tactical - Turn-based strategy (TBS),Single player,,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1k9m.jpg,82,"Fell Seal: Arbiter's Mark is a story-driven, turn-based tactical RPG set in a fantasy world with a touch of steampunk. Take control of the Arbiter Kyrie, an agent of the Immortal Council tasked with preserving stability and order throughout the land, and lead your troops through difficult encounters.Experience an epic and mature story, unfolding through over 40 story encounters and topped with challenging end-game content.Classic tactical combat battles, with rugged terrain and elevation, taking place on beautiful hand-drawn environments.A deep and complex class system with over 30 classes and 300 abilities lets you truly customize every one of your characters through the selection of their class, sub-class and passives. Carefully craft the character you envision, be it a versatile generalist, a dedicated spell-caster or a mighty foe-crushing specialist!Customize your troops' appearance your way, by selecting their portrait, outfit, colors and overall visuals from a wide selection.Equip your army with over 240 pieces of equipment, either purchased, gathered from fallen enemies or created from crafting."
1342,Kyurinaga's Revenge,https://www.igdb.com/games/kyurinagas-revenge,Eighth Generation,Adventure - Indie - Platform,Co-operative - Multiplayer - Single player,Action,,,https://images.igdb.com/igdb/image/upload/t_cover_big/rmmlau6bclofdrfrgli6.jpg,25,"3D platforming with high doses of action.Lots of challenging puzzles and frenetic combat.New characters and enemies.Play solo or with a friend in a local co-op mode.A 2D cartoonish and engaging living world, set in the Feudal Japan.Samurais, ninjas, ronins and more!"
1343,L.A. Noire,https://www.igdb.com/games/l-a-noire,Seventh Generation,Adventure,Single player,Action - Historical - Open world - Sandbox - Thriller,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co27sl.jpg,89,"L.A. Noire is a neo-noir detective action-adventure video game developed by Team Bondi and published by Rockstar Games. It was initially released for the PlayStation 3 and Xbox 360 platforms on 17 May 2011; a Microsoft Windows port was later released on 8 November 2011.L.A. Noire is set in Los Angeles in 1947 and challenges the player, controlling a Los Angeles Police Department (LAPD) officer, to solve a range of cases across five divisions. Players must investigate crime scenes for clues, follow up leads, and interrogate suspects, and the player's success at these activities will impact how much of each case's story is revealed.The game draws heavily from both the plot and aesthetic elements of film noir—stylistic films made popular in the 1940s and 1950s that share similar visual styles and themes, including crime and moral ambiguity—along with drawing inspiration from real-life crimes for its in-game cases, based upon what was reported by the Los Angeles media in 1947.The game uses a distinctive colour palette, but in homage to film noir it includes the option to play the game in black and white. Various plot elements reference the major themes of detective and mobster stories such as The Naked City, Chinatown, The Untouchables, The Black Dahlia, and L.A. Confidential."
1344,L.A. Noire,https://www.igdb.com/games/l-a-noire,Seventh Generation,Adventure,Single player,Action - Historical - Open world - Sandbox - Thriller,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co27sl.jpg,89,"L.A. Noire is a neo-noir detective action-adventure video game developed by Team Bondi and published by Rockstar Games. It was initially released for the PlayStation 3 and Xbox 360 platforms on 17 May 2011; a Microsoft Windows port was later released on 8 November 2011.L.A. Noire is set in Los Angeles in 1947 and challenges the player, controlling a Los Angeles Police Department (LAPD) officer, to solve a range of cases across five divisions. Players must investigate crime scenes for clues, follow up leads, and interrogate suspects, and the player's success at these activities will impact how much of each case's story is revealed.The game draws heavily from both the plot and aesthetic elements of film noir—stylistic films made popular in the 1940s and 1950s that share similar visual styles and themes, including crime and moral ambiguity—along with drawing inspiration from real-life crimes for its in-game cases, based upon what was reported by the Los Angeles media in 1947.The game uses a distinctive colour palette, but in homage to film noir it includes the option to play the game in black and white. Various plot elements reference the major themes of detective and mobster stories such as The Naked City, Chinatown, The Untouchables, The Black Dahlia, and L.A. Confidential."
1345,L.A. Rush,https://www.igdb.com/games/l-a-rush,Fifth Generation,Racing,Single player - Split screen,,Rush,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1owl.jpg,58,"L.A. Rush is the 4th installment in the Rush series of video games. It was released in North America for the PlayStation 2 and Xbox consoles on October 10, 2005 and on October 21 in Europe. The PC version was released on November 4 in Europe. PlayStation Portable version was released on October 30, 2006 named Rush. Many details were revealed at E3 in May 2005. The game is free-roaming with races similar to those in Need for Speed: Underground 2. The GPS map can have a point assigned to a certain location and then the point shows up on the radar during gameplay. The game features voice talent from Orlando Jones, Bill Bellamy, and Twista. In addition to the console versions and PC version it was to be available on Gizmondo."
1346,LA Cops,https://www.igdb.com/games/la-cops,Eighth Generation,Adventure - Indie - Shooter - Strategy,Single player,Action - Comedy,,,https://images.igdb.com/igdb/image/upload/t_cover_big/m2t5qbdmxtuecroarjwo.jpg,43,"Alright, listen up! I got the Mayor on my ass about this like a hernia, and he wants you guys on the case. Why he wants you guys, I don’t know. You’ve cost this department more than all the Precincts in the rest of the state combined!Anyways. You’ll be headin’ up a team of cops in LA, and you’ll be goin’ up against all manner of bad guys, packing some serious heat! Not ta mention The BIG Boss, Hawaiian Mo. Sure, it’ll be dangerous, but heck, it’s nothin’ you ain’t done before.LA Cops is a fast, action packed 3D top down shooter set to a theme of 70s Cops in LA trying to do a tough job in a tough town. Gameplay includes an extra edge as you control two cops, using them strategically to get one up on the bad guys!A smart targeting system UI allows, you, the player to position your cops tactically whilst taking out the bad guys in real time."
1347,LA Cops,https://www.igdb.com/games/la-cops,Eighth Generation,Adventure - Indie - Shooter - Strategy,Single player,Action - Comedy,,,https://images.igdb.com/igdb/image/upload/t_cover_big/m2t5qbdmxtuecroarjwo.jpg,43,"Alright, listen up! I got the Mayor on my ass about this like a hernia, and he wants you guys on the case. Why he wants you guys, I don’t know. You’ve cost this department more than all the Precincts in the rest of the state combined!Anyways. You’ll be headin’ up a team of cops in LA, and you’ll be goin’ up against all manner of bad guys, packing some serious heat! Not ta mention The BIG Boss, Hawaiian Mo. Sure, it’ll be dangerous, but heck, it’s nothin’ you ain’t done before.LA Cops is a fast, action packed 3D top down shooter set to a theme of 70s Cops in LA trying to do a tough job in a tough town. Gameplay includes an extra edge as you control two cops, using them strategically to get one up on the bad guys!A smart targeting system UI allows, you, the player to position your cops tactically whilst taking out the bad guys in real time."
1348,Lego Batman: The Video Game,https://www.igdb.com/games/lego-batman-the-video-game,First Generation,Adventure - Hack and slash/Beat 'em up,Multiplayer - Single player - Split screen,Action - Comedy,Lego Batman,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qrn.jpg,76,"The fun of LEGO, the drama of Batman and the uniqueness of the combination makes for a comical and exciting adventure in LEGO Batman: The Videogame. Play as Batman and his sidekick Robin as you build, drive, swing and fight your way through Gotham City capturing escaped villains including The Joker, Penguin, Scarecrow and more. Then, jump into the story from the other side and play as Batman's foes! Enjoy the power you wield and battle Batman while spreading chaos throughout the city. There is no rest for the good (or evil!)."
1349,Lego Batman 2: DC Super Heroes,https://www.igdb.com/games/lego-batman-2-dc-super-heroes,Sixth Generation,Adventure,Co-operative - Multiplayer - Single player - Split screen,Action - Comedy - Open world,Lego Batman,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2j0q.jpg,81,"The Dynamic Duo of Batman and Robin join other famous super heroes from the DC Universe including Superman, Wonder Woman and Green Lantern to save Gotham City from destruction at the hands of the notorious villains Lex Luthor and the Joker."
1350,LEGO Harry Potter: Years 1-4,https://www.igdb.com/games/lego-harry-potter-years-1-4,Fifth Generation,Adventure - Puzzle,Co-operative - Multiplayer - Single player - Split screen,Action - Comedy - Fantasy - Party,Lego Harry Potter,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qrp.jpg,81,"Experience the magic of Harry Potter's first 4 years at Hogwarts School of Witchcraft and Wizardry in an exciting new way. LEGO Harry Potter: Years 1-4 combines the first four Harry Potter books and films in an interactive fun-filled videogame. Players can build the adventure from Privet Drive to the Triwizard Tournament through new LEGO gameplay elements like magical building and spell-casting.Select from over 100 playable characters including Harry Potter, Ron Weasley and Hermione Granger. Experience the wonder of Hogwarts: attend lessons, mix potions, fly on broomsticks, and complete tasks to collect LEGO studs and relive the adventures like never before with tongue-in-cheek humor and creative customization unique to LEGO videogames."
1351,LEGO Harry Potter: Years 5-7,https://www.igdb.com/games/lego-harry-potter-years-5-7,Fifth Generation,Adventure - Platform - Puzzle,Co-operative - Multiplayer - Single player - Split screen,Action - Comedy - Fantasy - Party,Lego Harry Potter,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qro.jpg,76,"The game will whisk you away to familiar locations from books 5-7 Order of the Phoenix, Half-Blood Prince and The Deathly Hallows, including Grimmauld Place, the Ministry of Magic and Godric's Hollow."
1352,LEGO Indiana Jones 2: The Adventure Continues,https://www.igdb.com/games/lego-indiana-jones-2-the-adventure-continues,Fifth Generation,Adventure - Platform - Puzzle,Co-operative - Multiplayer - Single player - Split screen,Action - Comedy - Kids,Lego Indiana Jones,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2fup.jpg,75,"LEGO Indy is back in his biggest adventure yet. Battle through all four movies, including all-new levels from the original adventures and your favorite new moments from The Kingdom of the Crystal Skull.  or in true LEGO fashion, get creative and build your own levels to play with friends!New modes including two-player drop-in, drop-out split-screen gameplay lets you play together with your friends and family like never before."
1353,LEGO Indiana Jones: The Original Adventures,https://www.igdb.com/games/lego-indiana-jones-the-original-adventures,Fifth Generation,Adventure - Platform,Co-operative - Multiplayer - Single player,Action - Comedy - Kids,Lego Indiana Jones,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hdu.jpg,69,"Build, Battle and Brawl your way out of trouble! Play through all three classic Indiana Jones™ movies and relive your favorite Indy adventures in the tongue-in-cheek worlds of LEGO. Explore and Discover - Battle enemies, solve puzzles, and seek out the world's greatest treasures."
1354,LEGO Marvel Super Heroes,https://www.igdb.com/games/lego-marvel-super-heroes,Sixth Generation,Adventure - Hack and slash/Beat 'em up - Puzzle,Co-operative - Multiplayer - Single player,Action - Comedy - Fantasy - Kids - Party,Lego Marvel Super Heroes,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co2dhp.jpg,86,"Marvel Super Heroes are assembling for an action-packed, brick-smashing good time! Warner Bros. Interactive Entertainment, TT Games, The LEGO Group and Marvel Entertainment announced today that LEGO Marvel Super Heroes will be available beginning Fall 2013 for the Xbox 360 video game and entertainment system from Microsoft, PlayStation3 computer entertainment system, the Wii U system and Windows PC, as well as the Nintendo DS handheld system, Nintendo 3DS handheld system and PlayStation Vita handheld entertainment system. LEGO Marvel Super Heroes is the first instalment in the highly successful LEGO videogame franchise to feature famous Marvel characters.In LEGO Marvel Super Heroes, players will unlock more than 100 characters from across the Marvel Universe, including fan favorites like Spider-Man, Iron Man, Wolverine, Captain America, the Hulk, Thor, Black Widow, Hawkeye, Deadpool, Loki and Galactus! The game will pack in a plethora of super-cool character abilities, combat-like action sequences, epic battle scenes, puzzle-solving and a unique story told with playful LEGO humor."
1355,Lego Pirates of the Caribbean,https://www.igdb.com/games/lego-pirates-of-the-caribbean,Fifth Generation,Adventure - Puzzle,Co-operative - Multiplayer - Single player,Action - Comedy,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1kr6.jpg,71,LEGO Pirates of the Caribbean: The Video Game is an action adventure game that brings the Pirates of the Caribbean world and all its colorful characters to life in LEGO Brick form. Players experience all the memorable scenes from all four films in the humorous and quirky LEGO Video Games style.
1356,Lego Racers 2,https://www.igdb.com/games/lego-racers-2,Fifth Generation,Arcade - Racing,Single player,,Lego Racers,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/czmvuekbtixzmnhgu5jt.jpg,70,"LEGO Racers, start your engines! Rocket Racer is back and he's teamed up with the toughest competitors in the galaxy to bring racers of all ages this awesome challenge. Players must win their races, keep their cars on the road and muster all their adventure racing skills to find and collect the elusive Golden Bricks."
1357,Lego Rock Band,https://www.igdb.com/games/lego-rock-band,Sixth Generation,Music,Co-operative - Multiplayer - Single player - Split screen,Comedy,Rock Band,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wpb.jpg,77,"LEGO Rock Band is a blending of Rock Band and LEGO series. Players get to start a band and hire band members who will play with them. Just like with real Lego, players can mix and match bodies, torsos, legs and heads to create a character any way they want. The main game has players touring around the world at various locations, like the original Rock Band games. Unlike Rock Band however, LEGO Rock Band also has special levels where you must perform outrageous tasks such as fighting an octopus or demolishing a building using your rock concert. As players make their way through the song lists, they earn ""Studs"", the game's currency. Studs can be used to purchase Lego items to decorate your Rock Den, hire new staff, buy new clothes or instruments."
1358,LEGO Star Wars II: The Original Trilogy,https://www.igdb.com/games/lego-star-wars-ii-the-original-trilogy,Fifth Generation,Adventure - Platform,Multiplayer - Single player,Action - Comedy - Science fiction,Lego Star Wars,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hgu.jpg,69,"LEGO Star Wars II: The Original Trilogy takes the fun and endlesscustomization of LEGO and combines it with the epic story, characters and action from the original Star Wars movies that revolutionized pop culture forever (Episode IV A New Hope, Episode V The Empire Strikes Back and Episode VI Return of the Jedi). With a unique tongue-in-cheek take on the Original Trilogy, LEGO Star Wars II follows the Rebel Alliances crusade to dismantle the Galactic Empire and rebuild a galaxy in pieces.Build and battle your way through your favorite film moments, from Darth Vaders pursuit of Princess Leia aboard her Blockade Runner to a showdown on the second Death Star, as the game includes even more of the family-friendly LEGO action, puzzles and humor that earned the original LEGO Star Wars suchpopularity and acclaim.And much more new to offer, it still has. For the first time ever, characters can get in and out of vehicles, as well as ride creatures. You can also mix and match the body parts of more than 50 playable characters to create one of millions of possible LEGO Star Wars heroes."
1359,LEGO Star Wars III: The Clone Wars,https://www.igdb.com/games/lego-star-wars-iii-the-clone-wars,Fifth Generation,Adventure - Platform,Co-operative - Multiplayer - Single player - Split screen,Action - Party - Science fiction,Lego Star Wars,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/whttqgdijgaku13ioi5b.jpg,70,"The Saga continues. Build, battle and laugh your way across the Star Wars universe like never before! Play as Anakin Skywalker and Obi-Wan Kenobi through a story spanning the entire Clone Wars era. LEGO Star Wars III: The Clone Wars combines epic space battles, challenging puzzles and of course, the imaginative gameplay of LEGO.The Sith and their allies have declared war on the Jedi Council with an army of droids, and it’s up to you to stop them. With the Dark Side gathering power and entire star systems in turmoil, galactic freedom hangs in the balance."
1360,LEGO The Lord of the Rings,https://www.igdb.com/games/lego-the-lord-of-the-rings,Sixth Generation,Adventure,Co-operative - Single player,Action - Comedy,Lego Lord of the Rings,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co20pp.jpg,77,"Based on The Lord of the Rings motion picture trilogy, LEGO The Lord of the Rings follows the original storylines of The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, and The Lord of the Rings: The Return of the King, taking players through the epic story events reimagined with the humor and endless variety of LEGO play.Trusted with the dangerous task to destroy an ancient magical ring that threatens all that is good, Frodo is forced to leave his peaceful home. But the ring wants to be found and the road to Mount Doom, the only place where it can be destroyed, will be perilous and riddled with Orcs and fouler things.To help Frodo, a Fellowship is formed —Aragorn the Ranger, Gandalf the Wizard, Legolas the Elf, Gimli the Dwarf, Boromir a Man of Gondor, and Frodo’s Hobbit friends Sam, Merry and Pippin. Players relive the legend through the LEGO minifigures, as they explore wonders, solve timeless riddles, and overcome endless foes in their quest to destroy the Ring."
1361,Limbo,https://www.igdb.com/games/limbo,Seventh Generation,Adventure - Indie - Platform - Puzzle,Single player,Action - Horror,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qrs.jpg,84,"Limbo is a black and white puzzle-platforming adventure. Play the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister. Limbo's design is an example of gaming as an art form. Short and sweet, doesn't overstay its welcome. Puzzles are challenging and fun, not illogical and frustrating."
1362,LMA Manager 2005,https://www.igdb.com/games/lma-manager-2005,Sixth Generation,Simulator - Sport,,,LMA Manager,,https://images.igdb.com/igdb/image/upload/t_cover_big/obgbqrshudpcd6yk7vne.jpg,70,"A NEW GAME FOR THE NEW SEASON . The best selling management game on console is back!ALL STATS UPDATED FOR THE 2004/05 SEASONNEW IMPROVED FEATURESImproved 3D Match EngineExciting new improvements to match play and fluidity. New goal celebrations. All new player models.NOW BIGGER New playable leagues - Holland, Portugal and the English Conference League, plus new trophies to play and winEven Greater AuthenticityMore realistic look and feel. Official English Football League license and club badges.Extra Content With XBOX LiveDownload new Scenario Challenges and Fantasy Teams. Keep your game up to date, download all January '05 transfers. Make your performance official with online High Score tablesPLUSOver 20,000 players 850 clubs and 31 countriesFantasy team modeIn-depth player infoExpert modeUnique interface for fast and easy game playImproved commentary by Barry Davies and presented by Alan Hansen and Gary Lineker"
1363,LMA Manager 2006,https://www.igdb.com/games/lma-manager-2006,Sixth Generation,Simulator - Sport,,,LMA Manager,,https://images.igdb.com/igdb/image/upload/t_cover_big/adsrj03ia36xflinctd0.jpg,40,"All new transfer system, all new look, same brilliant gameplay!LMA Manager 2006 represents a massive leap forward in the series - now with an even more realistic transfer market - and as challenging and playable as ever!Realistic Transfer SystemGiving you more complex negotiations and more control than ever before.Stunning 3D MatchSee your manager take charge from the touch-line!Brand New LookIncredible new visuals and more realistic look.Share Content & Update Your Stats OnlineCommentary from Alan Hansen & Gary Lineker."
1364,LMA Manager 2007,https://www.igdb.com/games/lma-manager-2007,Sixth Generation,Simulator - Sport,,,LMA Manager,,https://images.igdb.com/igdb/image/upload/t_cover_big/dcl0pmlwa2igbpnrzqaf.jpg,60,"LMA Manager 2007 is a soccer management game in the LMA Manager series. Like its predecessors, the game allows players to manage a soccer team. Included are teams from over 50 different countries and leagues from 8 of those countries. Available are over a 1000 different officially licensed teams. The game features an improved database engine and a transfer system with more depth than its predecessors.All matches can be watched in full 3D. The AI plays the matches out, but it is still possible to make adjustments to player positions and the like. It is also possible to see the results of matches and all kinds of player and team statistics in the ingame magazine ""FootballOne""."
1365,Luftrausers,https://www.igdb.com/games/luftrausers,Seventh Generation,Arcade - Indie - Simulator - Strategy,Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sqn.jpg,80,"The skies will be set aflame and the seas will overflow with wreckage in Vlambeer's stylish arcade shooter LUFTRAUSERS! Select from over 125 combinations of weapons, bodies, and propulsion systems and take to the skies to battle enemy fighter planes, battleships, submarines, and rival aces for glory, honor, and high scores."
1366,KILL la KILL: IF,https://www.igdb.com/games/kill-la-kill-if,Eighth Generation,Fighting,Multiplayer - Single player,Action - Fantasy,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sb8.jpg,57,"You control Satsuki Kiryuin as the main protagonist of this game and proceed along with the story while battling against various characters. All scenarios are completely new and fully supervised under the watchful eyes of the original scenario-writer, Kazuki Nakashima. You will be experiencing the story unfold from the perspective of Satsuki Kiryuin, the rival of the original series' protagonist Ryuko."
1367,La Pucelle Tactics,https://www.igdb.com/games/la-pucelle-tactics,Fifth Generation,Role-playing (RPG) - Strategy - Turn-based strategy (TBS),Single player,Fantasy,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/dwydh9pccljhtxbm6j2c.jpg,87,"Prier and her brother Culotte are novices with the demon-hunting organization, La Pucelle. They've just passed their final exams and are ready to do real work fighting demons and zombies, but quickly find themselves embroiled in a series of plots orchestrated by a rival church with dark intentions. The gameplay is played on a tactical map, as teams up to six characters work to clear boards of enemies and dark energy. The unique ""purify"" command allows players to recruit monsters to their team and execute complex ""miracle"" energy attacks."
1368,KILL la KILL: IF,https://www.igdb.com/games/kill-la-kill-if,Eighth Generation,Fighting,Multiplayer - Single player,Action - Fantasy,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sb8.jpg,57,"You control Satsuki Kiryuin as the main protagonist of this game and proceed along with the story while battling against various characters. All scenarios are completely new and fully supervised under the watchful eyes of the original scenario-writer, Kazuki Nakashima. You will be experiencing the story unfold from the perspective of Satsuki Kiryuin, the rival of the original series' protagonist Ryuko."
1369,La-Mulana,https://www.igdb.com/games/la-mulana,Eighth Generation,Adventure - Indie - Platform - Puzzle,Single player,Action - Comedy - Fantasy - Open world,La-Mulana,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1w39.jpg,80,"La-Mulana is a 2D side-scrolling platform game, first released on May 27, 2005 in Japan for Microsoft Windows that features graphics and an interface inspired by MSX games. The game is a traditional action-adventure game, reminiscent of Metroid games. This game was originally only available in Japanese, but an English translation patch has been produced by Ian Kelley of AGTP."
1370,La-Mulana,https://www.igdb.com/games/la-mulana,Eighth Generation,Adventure - Indie - Platform - Puzzle,Single player,Action - Comedy - Fantasy - Open world,La-Mulana,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1w39.jpg,80,"La-Mulana is a 2D side-scrolling platform game, first released on May 27, 2005 in Japan for Microsoft Windows that features graphics and an interface inspired by MSX games. The game is a traditional action-adventure game, reminiscent of Metroid games. This game was originally only available in Japanese, but an English translation patch has been produced by Ian Kelley of AGTP."
1371,La-Mulana 2,https://www.igdb.com/games/la-mulana-2,Eighth Generation,Adventure - Indie - Platform - Puzzle,Single player,Action - Fantasy - Open world,La-Mulana,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1w37.jpg,85,"In La-Mulana 2, you will take on the role of Lumisa Kosugi on a mission to find the entrance to the ruins of Eg-Lana, which is rumored to be the source of recent monster appearances. The ruins themselves are compromised of a variety of areas as well as huge boss creatures known as Guardians. Who knows what lies in wait at the end of Eg-Lana?"
1372,Labyrinth Legends,https://www.igdb.com/games/labyrinth-legends,Seventh Generation,Role-playing (RPG),,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/uyxv2122ebzjnueygkew.jpg,69,Cartoony dungeon crawler with puzzle elements for the PS3.
1373,Labyrinth of Refrain: Coven of Dusk,https://www.igdb.com/games/labyrinth-of-refrain-coven-of-dusk,Eighth Generation,Adventure - Role-playing (RPG) - Strategy,Single player,Fantasy,,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co252n.jpg,80,"Labyrinth of Refrain: Coven of Dusk is a first-person dungeon-crawler RPG using a party of 5 characters chosen from 6 classes. Later it seems like you can have 5 groups of 3 characters acting as one party with a mix of classes together.""Become the living book, Tractatus de Monstrum, and command a brigade of puppet soldiers as you navigate the twisting passageways of the Labyrinth of Refrain.When at your base, prepare for your journey by upgrading your brigade! Create new puppet soldiers, assign them different squads and formations, synthesize better equipment, take requests from townsfolk, and get assistance from Dronya in the form of Witch Petitions.Once you've entered the labyrinth, be sure to search every nook and cranny as you jump over barricades, solve puzzles, and smash your way through walls to delve further and further downward in search of treasure and rare artifacts. But be careful, the more riches you obtain, the more vicious the dungeon becomes. Can you survive long enough to bring your haul back?Fight past terrifying monsters by giving orders to your puppet brigade. Change their formation, use special skills, or call for an all-out attack! The battles you face will be challenging, so your success depends on your preparation and your strategy."""
1374,Lair,https://www.igdb.com/games/lair,Seventh Generation,Adventure,Single player,Action - Fantasy,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wre.jpg,63,"In a world ravaged by endless conflict and natural disaster, a call for peace turns into a bloodbath of betrayal and deceit. Playing as a warrior riding a voracious dragon trained for deadly aerial and ground combat, and capable of scorching, clawing and smashing thousands of enemies, gamers must defeat countless armies to save a civilization. Together, the gamer and the beast will attempt to change the destiny of a world on the brink of extinction."
1375,Lair of the Clockwork God,https://www.igdb.com/games/lair-of-the-clockwork-god,Eighth Generation,Adventure - Indie - Platform - Point-and-click,Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co2000.jpg,83,A fast-paced Point-and-Click adventure for the modern era! Join adventurer Ben and wannabe indie darling platformer Dan in a race against time to prevent all the Apocalypses happening at the same time.
1376,Langrisser I & II,https://www.igdb.com/games/langrisser-i-and-ii--1,Eighth Generation,Role-playing (RPG) - Strategy - Tactical - Turn-based strategy (TBS),Single player,Fantasy - Warfare,Langrisser,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1kom.jpg,81,"A remake of the first and second Langrisser games for PlayStation 4 and Nintendo Switch.Originally released on the Sega Megadrive/Genesis, the first game was called Warsong internationally while the second game was never released outside of Japan.""The orthodox tactical simulation RPG ""Langrisser"" series sings in the present day!Full remake of ""I"" & ""II"" as the origin of the series!We bring back various elements such as visual refinement, full voice of scenario, optimization of UI and system side, and return on the latest platform!"""
1377,Langrisser I & II,https://www.igdb.com/games/langrisser-i-and-ii--1,Eighth Generation,Role-playing (RPG) - Strategy - Tactical - Turn-based strategy (TBS),Single player,Fantasy - Warfare,Langrisser,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1kom.jpg,81,"A remake of the first and second Langrisser games for PlayStation 4 and Nintendo Switch.Originally released on the Sega Megadrive/Genesis, the first game was called Warsong internationally while the second game was never released outside of Japan.""The orthodox tactical simulation RPG ""Langrisser"" series sings in the present day!Full remake of ""I"" & ""II"" as the origin of the series!We bring back various elements such as visual refinement, full voice of scenario, optimization of UI and system side, and return on the latest platform!"""
1378,Lapis x Labyrinth,https://www.igdb.com/games/lapis-x-labyrinth,Eighth Generation,Role-playing (RPG),Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co26q3.jpg,72,"The game takes place in a rural town located on the frontier of a small kingdom. In the depths of the dense woodlands that extend over this land, it is said that there exists a “Golden Forest” where the trees produce gold. Many adventurers have sought out this huge fortune, but none have yet found it, and the area has since become completely deserted.Unsurprisingly, you'll be exploring this area with a group of adventurers, with eight classes of playable character available to choose from. Each class has different traits, usable weapons, and fighting styles, so players are able to choose a character which truly matches their play style. Those classes are Hunter, Necromancer, Shielder, Maid, Gunner, Wizard, Destroyer, and Bishop."
